questionId(UUID),Question,ResponseType
cdc2cc8c-d15e-405b-bb69-5e3e96f088b9,CorrectCount,string
9d61ddf3-00d1-4e39-a89a-d2da77cfa4a7,CorrectWordPhoneticArray,array
3ca5b517-6707-47dd-b391-d65f96619608,OtherCount,string
7b414e98-d075-4560-a1d2-d95f37ac2739,OtherWordPhoneticArray,array
120aef4b-b50f-4a6e-94e4-4efe3d0bcc7d,NoResponseCount,string
cf296d97-2b8a-4376-9e23-9289c599ee67,NoResponseWordPhoneticArray,array
35f1246e-b29a-4e3e-a1c4-fc3893dd7ba9,AssimilationCount,string
b02712a3-a52f-4842-8716-54550c135460,AssimilationWordPhoneticArray,array
a92593a2-890e-489f-ae7f-a12ea5939636,ClusterReductionCount,string
0071a1d1-1fdd-40a8-8938-773ba703726f,ClusterReductionWordPhoneticArray,array
9763db15-15b2-4bd3-8f8f-3f31b16c4036,FrontingFricativeCount,string
eb4d94e7-c294-4808-b42e-a1c23b370e79,FrontingFricativeWordPhoneticArray,array
3022cf02-7154-4f3d-bdc0-7abfd71faa9c,FrontingVelarCount,string
b57aa54b-a4dc-4366-80d2-30578f16b079,FrontingVelarWordPhoneticArray,array
172444c6-3817-44a3-86af-f14f2c0cb692,WeakSyllableDeletionCount,string
245913bb-a7ab-4cc3-8f4a-f3e4a4f34105,WeakSyllableDeletionWordPhoneticArray,array
57a77f19-f5ee-4585-868b-78a22c665b66,StoppingCount,string
aa77c6b8-3273-445d-bc2b-871104c51677,StoppingWordPhoneticArray,array
2624394b-31fb-4dd3-b124-3b4fe066eacd,GlidingCount,string
b765bae9-9443-47d4-964b-6ef512fdf43d,GlidingWordPhoneticArray,array
fbd984c7-18e3-42e6-83d3-373f6e4eb1fc,VoicingCount,string
de9b6b64-ac6b-40c8-b407-4640d01ff8fe,VoicingWordPhoneticArray,array
323b9769-8ec9-4b6d-a5f9-237817ef77c1,FinalConsonantDeletionCount,string
d2769203-dcfc-4019-9072-ee0f7352b541,FinalConsonantDeletionWordPhoneticArray,array
f9f72d33-11df-446a-bfc9-4f4eb97cd53a,DeaffricationCount,string
c75253a1-1542-4103-a280-e32f8604ccd0,DeaffricationWordPhoneticArray,array
6706de22-18c2-4ac5-847d-40e1e0fae252,TranspositionCount,string
e1bf970e-bbf9-4298-b8d7-f2621dc0eb0d,TranspositionWordPhoneticArray,array
